"","vS1","vS2"
"19879","9606.ENSP00000321584","9606.ENSP00000233893"
"19880","9606.ENSP00000233893","9606.ENSP00000407375"
"19887","9606.ENSP00000321584","9606.ENSP00000232607"
"19888","9606.ENSP00000232607","9606.ENSP00000407375"
"19895","9606.ENSP00000321584","9606.ENSP00000231572"
"19896","9606.ENSP00000231572","9606.ENSP00000407375"
"19903","9606.ENSP00000321584","9606.ENSP00000229416"
"19904","9606.ENSP00000229416","9606.ENSP00000407375"
"19911","9606.ENSP00000321584","9606.ENSP00000229270"
"19912","9606.ENSP00000229270","9606.ENSP00000407375"
"19919","9606.ENSP00000321584","9606.ENSP00000229239"
"19920","9606.ENSP00000229239","9606.ENSP00000407375"
"19927","9606.ENSP00000321584","9606.ENSP00000226574"
"19928","9606.ENSP00000226574","9606.ENSP00000407375"
"19935","9606.ENSP00000321584","9606.ENSP00000223366"
"19936","9606.ENSP00000223366","9606.ENSP00000407375"
"19943","9606.ENSP00000321584","9606.ENSP00000222381"
"19944","9606.ENSP00000222381","9606.ENSP00000407375"
"19951","9606.ENSP00000321584","9606.ENSP00000222286"
"19952","9606.ENSP00000222286","9606.ENSP00000407375"
"19959","9606.ENSP00000321584","9606.ENSP00000219240"
"19960","9606.ENSP00000219240","9606.ENSP00000407375"
"19967","9606.ENSP00000321584","9606.ENSP00000217426"
"19968","9606.ENSP00000217426","9606.ENSP00000407375"
"19975","9606.ENSP00000321584","9606.ENSP00000217026"
"19976","9606.ENSP00000217026","9606.ENSP00000407375"
"19983","9606.ENSP00000321584","9606.ENSP00000216714"
"19984","9606.ENSP00000216714","9606.ENSP00000407375"
"19991","9606.ENSP00000321584","9606.ENSP00000216259"
"19992","9606.ENSP00000216259","9606.ENSP00000407375"
"19999","9606.ENSP00000321584","9606.ENSP00000216185"
"20000","9606.ENSP00000216185","9606.ENSP00000407375"
"20007","9606.ENSP00000321584","9606.ENSP00000215754"
"20008","9606.ENSP00000215754","9606.ENSP00000407375"
"20015","9606.ENSP00000321584","9606.ENSP00000215570"
"20016","9606.ENSP00000215570","9606.ENSP00000407375"
"20023","9606.ENSP00000321584","9606.ENSP00000215375"
"20024","9606.ENSP00000215375","9606.ENSP00000407375"
"20031","9606.ENSP00000321584","9606.ENSP00000211122"
